"","param","ma","st_Year","season","med_seamo_ma","med_seamo_ma_yr"
"42","temp","Big Bend Seagrasses Aquatic Preserve",2014,"Spring","Feb 18","Feb 4"
"43","temp","Big Bend Seagrasses Aquatic Preserve",2014,"Summer","Jun 14","Jun 24"
"44","temp","Big Bend Seagrasses Aquatic Preserve",2014,"Fall","Aug 31","Aug 26"
"45","temp","Big Bend Seagrasses Aquatic Preserve",2015,"Winter","Jan 15","Feb 10"
"46","temp","Big Bend Seagrasses Aquatic Preserve",2015,"Spring","Feb 18","Feb 18"
"47","temp","Big Bend Seagrasses Aquatic Preserve",2015,"Summer","Jun 14","May 5"
"48","temp","Big Bend Seagrasses Aquatic Preserve",2015,"Fall","Aug 31","May 24"
"49","temp","Big Bend Seagrasses Aquatic Preserve",2019,"Winter","Jan 15","Dec 8"
"50","temp","Big Bend Seagrasses Aquatic Preserve",2019,"Spring","Feb 18",NA
"51","temp","Big Bend Seagrasses Aquatic Preserve",2019,"Summer","Jun 14",NA
"52","temp","Big Bend Seagrasses Aquatic Preserve",2019,"Fall","Aug 31","Oct 29"
"53","temp","Big Bend Seagrasses Aquatic Preserve",2020,"Winter","Jan 15",NA
"54","temp","Big Bend Seagrasses Aquatic Preserve",2020,"Spring","Feb 18","Feb 27"
"55","temp","Big Bend Seagrasses Aquatic Preserve",2020,"Summer","Jun 14","Jun 8"
"56","temp","Big Bend Seagrasses Aquatic Preserve",2020,"Fall","Aug 31","Oct 2"
"57","temp","Biscayne Bay Aquatic Preserve",2019,"Winter","Feb 8",NA
"58","temp","Biscayne Bay Aquatic Preserve",2019,"Spring","Mar 2","Mar 28"
"59","temp","Biscayne Bay Aquatic Preserve",2019,"Summer","Jun 1","Jun 14"
"60","temp","Biscayne Bay Aquatic Preserve",2019,"Fall","Aug 27","Aug 30"
"61","temp","Biscayne Bay Aquatic Preserve",2020,"Winter","Feb 8","Feb 8"
"62","temp","Biscayne Bay Aquatic Preserve",2020,"Spring","Mar 2","Feb 28"
"63","temp","Biscayne Bay Aquatic Preserve",2020,"Summer","Jun 1","May 31"
"64","temp","Biscayne Bay Aquatic Preserve",2020,"Fall","Aug 27","Aug 23"
"65","temp","Biscayne Bay Aquatic Preserve",2021,"Winter","Feb 8","Feb 1"
"66","temp","Biscayne Bay Aquatic Preserve",2021,"Spring","Mar 2","Apr 1"
"67","temp","Biscayne Bay Aquatic Preserve",2021,"Summer","Jun 1","Jun 8"
"68","temp","Biscayne Bay Aquatic Preserve",2021,"Fall","Aug 27","Sep 4"
"69","temp","Biscayne Bay Aquatic Preserve",2022,"Winter","Feb 8","Feb 9"
"70","temp","Biscayne Bay Aquatic Preserve",2022,"Spring","Mar 2","Feb 19"
"71","temp","Biscayne Bay Aquatic Preserve",2022,"Summer","Jun 1","May 19"
"72","temp","Biscayne Bay Aquatic Preserve",2022,"Fall","Aug 27","Jun 19"
"73","temp","Estero Bay Aquatic Preserve",2004,"Winter","Feb 27",NA
"74","temp","Estero Bay Aquatic Preserve",2004,"Spring","Dec 25",NA
"75","temp","Estero Bay Aquatic Preserve",2004,"Summer","Jun 7","Jul 15"
"76","temp","Estero Bay Aquatic Preserve",2004,"Fall","Aug 27","Sep 6"
"77","temp","Estero Bay Aquatic Preserve",2005,"Winter","Dec 25","Feb 8"
"78","temp","Estero Bay Aquatic Preserve",2005,"Spring","Feb 27","Feb 6"
"79","temp","Estero Bay Aquatic Preserve",2005,"Summer","Jun 7","Jul 12"
"80","temp","Estero Bay Aquatic Preserve",2005,"Fall","Aug 27","Aug 24"
"81","temp","Estero Bay Aquatic Preserve",2006,"Winter","Dec 25","Feb 1"
"82","temp","Estero Bay Aquatic Preserve",2006,"Spring","Feb 27","Feb 9"
"83","temp","Estero Bay Aquatic Preserve",2006,"Summer","Jun 7","Jun 17"
"84","temp","Estero Bay Aquatic Preserve",2006,"Fall","Aug 27","Aug 31"
"85","temp","Estero Bay Aquatic Preserve",2007,"Winter","Dec 25","Jan 17"
"86","temp","Estero Bay Aquatic Preserve",2007,"Spring","Feb 27","Feb 22"
"87","temp","Estero Bay Aquatic Preserve",2007,"Summer","Jun 7","Jul 16"
"88","temp","Estero Bay Aquatic Preserve",2007,"Fall","Aug 27","Aug 24"
"89","temp","Estero Bay Aquatic Preserve",2008,"Winter","Dec 25","Feb 17"
"90","temp","Estero Bay Aquatic Preserve",2008,"Spring","Feb 27","Mar 2"
"91","temp","Estero Bay Aquatic Preserve",2008,"Summer","Jun 7","Jun 3"
"92","temp","Estero Bay Aquatic Preserve",2008,"Fall","Aug 27","Aug 29"
"93","temp","Estero Bay Aquatic Preserve",2009,"Winter","Dec 25","Feb 4"
"94","temp","Estero Bay Aquatic Preserve",2009,"Spring","Feb 27","Feb 11"
"95","temp","Estero Bay Aquatic Preserve",2009,"Summer","Jun 7","Jun 18"
"96","temp","Estero Bay Aquatic Preserve",2009,"Fall","Aug 27","Sep 11"
"97","temp","Estero Bay Aquatic Preserve",2010,"Winter","Dec 25","Dec 26"
"98","temp","Estero Bay Aquatic Preserve",2010,"Spring","Feb 27","Feb 15"
"99","temp","Estero Bay Aquatic Preserve",2010,"Summer","Jun 7","Jun 7"
"100","temp","Estero Bay Aquatic Preserve",2010,"Fall","Aug 27","Aug 22"
"101","temp","Estero Bay Aquatic Preserve",2011,"Winter","Dec 25","Dec 23"
"102","temp","Estero Bay Aquatic Preserve",2011,"Spring","Feb 27","Jun 5"
"103","temp","Estero Bay Aquatic Preserve",2011,"Summer","Jun 7","May 21"
"104","temp","Estero Bay Aquatic Preserve",2011,"Fall","Aug 27","Aug 26"
"105","temp","Estero Bay Aquatic Preserve",2012,"Winter","Dec 25","Nov 10"
"106","temp","Estero Bay Aquatic Preserve",2012,"Spring","Feb 27","Feb 15"
"107","temp","Estero Bay Aquatic Preserve",2012,"Summer","Jun 7","May 7"
"108","temp","Estero Bay Aquatic Preserve",2012,"Fall","Aug 27","Aug 23"
"109","temp","Estero Bay Aquatic Preserve",2013,"Winter","Dec 25","Dec 31"
"110","temp","Estero Bay Aquatic Preserve",2013,"Spring","Feb 27","Feb 29"
"111","temp","Estero Bay Aquatic Preserve",2013,"Summer","Jun 7","May 31"
"112","temp","Estero Bay Aquatic Preserve",2013,"Fall","Aug 27","Aug 7"
"113","temp","Estero Bay Aquatic Preserve",2014,"Winter","Dec 25","Nov 30"
"114","temp","Estero Bay Aquatic Preserve",2014,"Spring","Feb 27","Feb 27"
"115","temp","Estero Bay Aquatic Preserve",2014,"Summer","Jun 7","Jun 27"
"116","temp","Estero Bay Aquatic Preserve",2014,"Fall","Aug 27","Sep 5"
"117","temp","Estero Bay Aquatic Preserve",2015,"Winter","Dec 25","Dec 7"
"118","temp","Estero Bay Aquatic Preserve",2015,"Spring","Feb 27","Jun 14"
"119","temp","Estero Bay Aquatic Preserve",2015,"Summer","Jun 7","Apr 25"
"120","temp","Estero Bay Aquatic Preserve",2015,"Fall","Aug 27","Aug 1"
"121","temp","Estero Bay Aquatic Preserve",2016,"Winter","Dec 25","Nov 27"
"122","temp","Estero Bay Aquatic Preserve",2016,"Spring","Feb 27","Mar 30"
"123","temp","Estero Bay Aquatic Preserve",2016,"Summer","Jun 7","Apr 28"
"124","temp","Estero Bay Aquatic Preserve",2016,"Fall","Aug 27","Jul 25"
"125","temp","Estero Bay Aquatic Preserve",2017,"Winter","Dec 25","Nov 26"
"126","temp","Estero Bay Aquatic Preserve",2017,"Spring","Feb 27","Mar 5"
"127","temp","Estero Bay Aquatic Preserve",2017,"Summer","Jun 7","May 19"
"128","temp","Estero Bay Aquatic Preserve",2017,"Fall","Aug 27","Aug 1"
"129","temp","Estero Bay Aquatic Preserve",2018,"Winter","Dec 25","Feb 3"
"130","temp","Estero Bay Aquatic Preserve",2018,"Spring","Feb 27","Apr 5"
"131","temp","Estero Bay Aquatic Preserve",2018,"Summer","Jun 7","Jun 30"
"132","temp","Estero Bay Aquatic Preserve",2018,"Fall","Aug 27","Aug 21"
"133","temp","Estero Bay Aquatic Preserve",2019,"Winter","Dec 25","Jan 3"
"134","temp","Estero Bay Aquatic Preserve",2019,"Spring","Feb 27","Apr 5"
"135","temp","Estero Bay Aquatic Preserve",2019,"Summer","Jun 7","May 21"
"136","temp","Estero Bay Aquatic Preserve",2019,"Fall","Aug 27","Aug 14"
"137","temp","Estero Bay Aquatic Preserve",2020,"Winter","Dec 25","Nov 24"
"138","temp","Estero Bay Aquatic Preserve",2020,"Spring","Feb 27","Apr 27"
"139","temp","Estero Bay Aquatic Preserve",2020,"Summer","Jun 7","Apr 9"
"140","temp","Estero Bay Aquatic Preserve",2020,"Fall","Aug 27","Aug 1"
"141","temp","Estero Bay Aquatic Preserve",2021,"Winter","Dec 25","Oct 14"
"142","temp","Estero Bay Aquatic Preserve",2021,"Spring","Feb 27","Sep 21"
"143","temp","Estero Bay Aquatic Preserve",2021,"Summer","Jun 7","Apr 3"
"144","temp","Estero Bay Aquatic Preserve",2021,"Fall","Aug 27","Jul 23"
"145","temp","Estero Bay Aquatic Preserve",2022,"Winter","Dec 25",NA
"146","temp","Estero Bay Aquatic Preserve",2022,"Spring","Feb 27","Mar 16"
"147","temp","Estero Bay Aquatic Preserve",2022,"Summer","Jun 7","Apr 9"
"148","temp","Estero Bay Aquatic Preserve",2022,"Fall","Aug 27",NA
"149","temp","Guana River Marsh Aquatic Preserve",2001,"Winter","Feb 11",NA
"150","temp","Guana River Marsh Aquatic Preserve",2001,"Spring","Feb 23","Feb 2"
"151","temp","Guana River Marsh Aquatic Preserve",2001,"Summer","Jun 24","Jun 25"
"152","temp","Guana River Marsh Aquatic Preserve",2001,"Fall","Aug 21","Aug 10"
"153","temp","Guana River Marsh Aquatic Preserve",2002,"Winter","Feb 11","Feb 13"
"154","temp","Guana River Marsh Aquatic Preserve",2002,"Spring","Feb 23","Feb 16"
"155","temp","Guana River Marsh Aquatic Preserve",2002,"Summer","Jun 24","May 25"
"156","temp","Guana River Marsh Aquatic Preserve",2002,"Fall","Aug 21","Sep 22"
"157","temp","Guana River Marsh Aquatic Preserve",2003,"Winter","Feb 11","Feb 4"
"158","temp","Guana River Marsh Aquatic Preserve",2003,"Spring","Feb 23","Feb 22"
"159","temp","Guana River Marsh Aquatic Preserve",2003,"Summer","Jun 24","May 24"
"160","temp","Guana River Marsh Aquatic Preserve",2003,"Fall","Aug 21","Sep 8"
"161","temp","Guana River Marsh Aquatic Preserve",2004,"Winter","Feb 11","Feb 11"
"162","temp","Guana River Marsh Aquatic Preserve",2004,"Spring","Feb 23","Feb 5"
"163","temp","Guana River Marsh Aquatic Preserve",2004,"Summer","Jun 24","Jun 18"
"164","temp","Guana River Marsh Aquatic Preserve",2004,"Fall","Aug 21","Sep 21"
"165","temp","Guana River Marsh Aquatic Preserve",2005,"Winter","Feb 11","Jan 21"
"166","temp","Guana River Marsh Aquatic Preserve",2005,"Spring","Feb 23","Feb 11"
"167","temp","Guana River Marsh Aquatic Preserve",2005,"Summer","Jun 24","Jul 2"
"168","temp","Guana River Marsh Aquatic Preserve",2005,"Fall","Aug 21","Aug 31"
"169","temp","Guana River Marsh Aquatic Preserve",2006,"Winter","Feb 11",NA
"170","temp","Guana River Marsh Aquatic Preserve",2006,"Spring","Feb 23","Feb 3"
"171","temp","Guana River Marsh Aquatic Preserve",2006,"Summer","Jun 24","Jun 30"
"172","temp","Guana River Marsh Aquatic Preserve",2006,"Fall","Aug 21","Aug 22"
"173","temp","Guana River Marsh Aquatic Preserve",2007,"Winter","Feb 11","Feb 5"
"174","temp","Guana River Marsh Aquatic Preserve",2007,"Spring","Feb 23","Feb 20"
"175","temp","Guana River Marsh Aquatic Preserve",2007,"Summer","Jun 24","Jul 27"
"176","temp","Guana River Marsh Aquatic Preserve",2007,"Fall","Aug 21","Aug 26"
"177","temp","Guana River Marsh Aquatic Preserve",2008,"Winter","Feb 11","Jan 9"
"178","temp","Guana River Marsh Aquatic Preserve",2008,"Spring","Feb 23","Feb 10"
"179","temp","Guana River Marsh Aquatic Preserve",2008,"Summer","Jun 24","Jun 22"
"180","temp","Guana River Marsh Aquatic Preserve",2008,"Fall","Aug 21","Sep 9"
"181","temp","Guana River Marsh Aquatic Preserve",2009,"Winter","Feb 11",NA
"182","temp","Guana River Marsh Aquatic Preserve",2009,"Spring","Feb 23","Feb 23"
"183","temp","Guana River Marsh Aquatic Preserve",2009,"Summer","Jun 24","Jun 11"
"184","temp","Guana River Marsh Aquatic Preserve",2009,"Fall","Aug 21","Sep 7"
"185","temp","Guana River Marsh Aquatic Preserve",2010,"Winter","Feb 11","Jan 23"
"186","temp","Guana River Marsh Aquatic Preserve",2010,"Spring","Feb 23","Feb 11"
"187","temp","Guana River Marsh Aquatic Preserve",2010,"Summer","Jun 24","Jun 16"
"188","temp","Guana River Marsh Aquatic Preserve",2010,"Fall","Aug 21","Aug 20"
"189","temp","Guana River Marsh Aquatic Preserve",2011,"Winter","Feb 11",NA
"190","temp","Guana River Marsh Aquatic Preserve",2011,"Spring","Feb 23","Jul 24"
"191","temp","Guana River Marsh Aquatic Preserve",2011,"Summer","Jun 24","May 23"
"192","temp","Guana River Marsh Aquatic Preserve",2011,"Fall","Aug 21","Aug 21"
"193","temp","Guana River Marsh Aquatic Preserve",2012,"Winter","Feb 11","Jan 1"
"194","temp","Guana River Marsh Aquatic Preserve",2012,"Spring","Feb 23","Apr 15"
"195","temp","Guana River Marsh Aquatic Preserve",2012,"Summer","Jun 24","Apr 13"
"196","temp","Guana River Marsh Aquatic Preserve",2012,"Fall","Aug 21","Jul 19"
"197","temp","Guana River Marsh Aquatic Preserve",2013,"Winter","Feb 11",NA
"198","temp","Guana River Marsh Aquatic Preserve",2013,"Spring","Feb 23","Feb 6"
"199","temp","Guana River Marsh Aquatic Preserve",2013,"Summer","Jun 24","Aug 17"
"200","temp","Guana River Marsh Aquatic Preserve",2013,"Fall","Aug 21","Jul 11"
"201","temp","Guana River Marsh Aquatic Preserve",2014,"Winter","Feb 11","Jun 24"
"202","temp","Guana River Marsh Aquatic Preserve",2014,"Spring","Feb 23","Aug 8"
"203","temp","Guana River Marsh Aquatic Preserve",2014,"Summer","Jun 24","Nov 13"
"204","temp","Guana River Marsh Aquatic Preserve",2014,"Fall","Aug 21","Feb 19"
"205","temp","Guana River Marsh Aquatic Preserve",2015,"Winter","Feb 11","Jul 13"
"206","temp","Guana River Marsh Aquatic Preserve",2015,"Spring","Feb 23","Aug 10"
"207","temp","Guana River Marsh Aquatic Preserve",2015,"Summer","Jun 24","Dec 21"
"208","temp","Guana River Marsh Aquatic Preserve",2015,"Fall","Aug 21","Feb 7"
"209","temp","Guana River Marsh Aquatic Preserve",2016,"Winter","Feb 11","Jun 19"
"210","temp","Guana River Marsh Aquatic Preserve",2016,"Spring","Feb 23","Aug 16"
"211","temp","Guana River Marsh Aquatic Preserve",2016,"Summer","Jun 24","Dec 16"
"212","temp","Guana River Marsh Aquatic Preserve",2016,"Fall","Aug 21","Feb 18"
"213","temp","Guana River Marsh Aquatic Preserve",2017,"Winter","Feb 11","Jun 18"
"214","temp","Guana River Marsh Aquatic Preserve",2017,"Spring","Feb 23","Jul 8"
"215","temp","Guana River Marsh Aquatic Preserve",2017,"Summer","Jun 24","Jul 31"
"216","temp","Guana River Marsh Aquatic Preserve",2017,"Fall","Aug 21","Jul 2"
"217","temp","Guana River Marsh Aquatic Preserve",2018,"Winter","Feb 11","Mar 9"
"218","temp","Guana River Marsh Aquatic Preserve",2018,"Spring","Feb 23","Apr 11"
"219","temp","Guana River Marsh Aquatic Preserve",2018,"Summer","Jun 24","Aug 12"
"220","temp","Guana River Marsh Aquatic Preserve",2018,"Fall","Aug 21","Nov 14"
"221","temp","Guana River Marsh Aquatic Preserve",2019,"Winter","Feb 11","Mar 15"
"222","temp","Guana River Marsh Aquatic Preserve",2019,"Spring","Feb 23","Jul 19"
"223","temp","Guana River Marsh Aquatic Preserve",2019,"Summer","Jun 24","Aug 9"
"224","temp","Guana River Marsh Aquatic Preserve",2019,"Fall","Aug 21",NA
"225","temp","Guana River Marsh Aquatic Preserve",2020,"Winter","Feb 11","Oct 24"
"226","temp","Guana River Marsh Aquatic Preserve",2020,"Spring","Feb 23","Nov 25"
"227","temp","Guana River Marsh Aquatic Preserve",2020,"Summer","Jun 24","May 13"
"228","temp","Guana River Marsh Aquatic Preserve",2020,"Fall","Aug 21","Jul 4"
"229","temp","Guana River Marsh Aquatic Preserve",2021,"Winter","Feb 11",NA
"230","temp","Guana River Marsh Aquatic Preserve",2021,"Spring","Feb 23",NA
"231","temp","Guana River Marsh Aquatic Preserve",2021,"Summer","Jun 24","Apr 10"
"232","temp","Guana River Marsh Aquatic Preserve",2021,"Fall","Aug 21",NA
"233","temp","Matlacha Pass Aquatic Preserve",2005,"Winter","Dec 21","Dec 31"
"234","temp","Matlacha Pass Aquatic Preserve",2005,"Spring","Feb 28",NA
"235","temp","Matlacha Pass Aquatic Preserve",2005,"Summer","Jun 6",NA
"236","temp","Matlacha Pass Aquatic Preserve",2005,"Fall","Aug 17","Sep 27"
"237","temp","Matlacha Pass Aquatic Preserve",2006,"Winter","Dec 21","Nov 26"
"238","temp","Matlacha Pass Aquatic Preserve",2006,"Spring","Feb 28","Feb 27"
"239","temp","Matlacha Pass Aquatic Preserve",2006,"Summer","Jun 6","Jun 6"
"240","temp","Matlacha Pass Aquatic Preserve",2006,"Fall","Aug 17","Sep 8"
"241","temp","Matlacha Pass Aquatic Preserve",2007,"Winter","Dec 21","Jan 13"
"242","temp","Matlacha Pass Aquatic Preserve",2007,"Spring","Feb 28","Feb 25"
"243","temp","Matlacha Pass Aquatic Preserve",2007,"Summer","Jun 6","Jul 22"
"244","temp","Matlacha Pass Aquatic Preserve",2007,"Fall","Aug 17","May 13"
"245","temp","Matlacha Pass Aquatic Preserve",2008,"Winter","Dec 21","Nov 28"
"246","temp","Matlacha Pass Aquatic Preserve",2008,"Spring","Feb 28","Mar 10"
"247","temp","Matlacha Pass Aquatic Preserve",2008,"Summer","Jun 6","Jun 8"
"248","temp","Matlacha Pass Aquatic Preserve",2008,"Fall","Aug 17","Sep 8"
"249","temp","Matlacha Pass Aquatic Preserve",2009,"Winter","Dec 21","Feb 23"
"250","temp","Matlacha Pass Aquatic Preserve",2009,"Spring","Feb 28","Feb 19"
"251","temp","Matlacha Pass Aquatic Preserve",2009,"Summer","Jun 6","Jun 28"
"252","temp","Matlacha Pass Aquatic Preserve",2009,"Fall","Aug 17","Sep 8"
"253","temp","Matlacha Pass Aquatic Preserve",2010,"Winter","Dec 21","Feb 16"
"254","temp","Matlacha Pass Aquatic Preserve",2010,"Spring","Feb 28","Feb 15"
"255","temp","Matlacha Pass Aquatic Preserve",2010,"Summer","Jun 6","Jun 3"
"256","temp","Matlacha Pass Aquatic Preserve",2010,"Fall","Aug 17","Aug 25"
"257","temp","Matlacha Pass Aquatic Preserve",2011,"Winter","Dec 21","Dec 14"
"258","temp","Matlacha Pass Aquatic Preserve",2011,"Spring","Feb 28","Feb 10"
"259","temp","Matlacha Pass Aquatic Preserve",2011,"Summer","Jun 6","May 21"
"260","temp","Matlacha Pass Aquatic Preserve",2011,"Fall","Aug 17","Aug 24"
"261","temp","Matlacha Pass Aquatic Preserve",2012,"Winter","Dec 21","Dec 4"
"262","temp","Matlacha Pass Aquatic Preserve",2012,"Spring","Feb 28","Feb 23"
"263","temp","Matlacha Pass Aquatic Preserve",2012,"Summer","Jun 6","Jun 16"
"264","temp","Matlacha Pass Aquatic Preserve",2012,"Fall","Aug 17","Sep 2"
"265","temp","Matlacha Pass Aquatic Preserve",2013,"Winter","Dec 21","Jan 17"
"266","temp","Matlacha Pass Aquatic Preserve",2013,"Spring","Feb 28","Mar 13"
"267","temp","Matlacha Pass Aquatic Preserve",2013,"Summer","Jun 6","May 23"
"268","temp","Matlacha Pass Aquatic Preserve",2013,"Fall","Aug 17","May 9"
"269","temp","Matlacha Pass Aquatic Preserve",2014,"Winter","Dec 21","Jan 13"
"270","temp","Matlacha Pass Aquatic Preserve",2014,"Spring","Feb 28","Feb 25"
"271","temp","Matlacha Pass Aquatic Preserve",2014,"Summer","Jun 6","Jun 27"
"272","temp","Matlacha Pass Aquatic Preserve",2014,"Fall","Aug 17","Aug 3"
"273","temp","Matlacha Pass Aquatic Preserve",2015,"Winter","Dec 21","Oct 1"
"274","temp","Matlacha Pass Aquatic Preserve",2015,"Spring","Feb 28","Feb 13"
"275","temp","Matlacha Pass Aquatic Preserve",2015,"Summer","Jun 6","Apr 19"
"276","temp","Matlacha Pass Aquatic Preserve",2015,"Fall","Aug 17","Jul 27"
"277","temp","Matlacha Pass Aquatic Preserve",2016,"Winter","Dec 21","Nov 14"
"278","temp","Matlacha Pass Aquatic Preserve",2016,"Spring","Feb 28","Feb 28"
"279","temp","Matlacha Pass Aquatic Preserve",2016,"Summer","Jun 6","May 11"
"280","temp","Matlacha Pass Aquatic Preserve",2016,"Fall","Aug 17","Aug 5"
"281","temp","Matlacha Pass Aquatic Preserve",2017,"Winter","Dec 21","Dec 10"
"282","temp","Matlacha Pass Aquatic Preserve",2017,"Spring","Feb 28","Jul 14"
"283","temp","Matlacha Pass Aquatic Preserve",2017,"Summer","Jun 6","May 25"
"284","temp","Matlacha Pass Aquatic Preserve",2017,"Fall","Aug 17","Aug 2"
"285","temp","Matlacha Pass Aquatic Preserve",2018,"Winter","Dec 21","Apr 14"
"286","temp","Matlacha Pass Aquatic Preserve",2018,"Spring","Feb 28","Jun 15"
"287","temp","Matlacha Pass Aquatic Preserve",2018,"Summer","Jun 6","Jul 27"
"288","temp","Matlacha Pass Aquatic Preserve",2018,"Fall","Aug 17","Jul 13"
"289","temp","Matlacha Pass Aquatic Preserve",2019,"Winter","Dec 21","Dec 3"
"290","temp","Matlacha Pass Aquatic Preserve",2019,"Spring","Feb 28","Dec 3"
"291","temp","Matlacha Pass Aquatic Preserve",2019,"Summer","Jun 6","May 18"
"292","temp","Matlacha Pass Aquatic Preserve",2019,"Fall","Aug 17","Aug 5"
"293","temp","Matlacha Pass Aquatic Preserve",2020,"Winter","Dec 21","Nov 22"
"294","temp","Matlacha Pass Aquatic Preserve",2020,"Spring","Feb 28","Aug 19"
"295","temp","Matlacha Pass Aquatic Preserve",2020,"Summer","Jun 6","May 26"
"296","temp","Matlacha Pass Aquatic Preserve",2020,"Fall","Aug 17","Jun 30"
"297","temp","Matlacha Pass Aquatic Preserve",2021,"Winter","Feb 28",NA
"298","temp","Matlacha Pass Aquatic Preserve",2021,"Spring","Dec 21",NA
"299","temp","Matlacha Pass Aquatic Preserve",2021,"Summer","Jun 6","Mar 29"
"300","temp","Matlacha Pass Aquatic Preserve",2021,"Fall","Aug 17","Jul 28"
